local_specialty,character,location
Calla Lily,Diona & Kaeya,Springvale
Wolfhook,Mika & Razor,Wolvendom
Valberry,Lisa & Noelle & Rosaria,Stormbearer Mountains & Stormbearer Point
Cecilia,Albedo & Venti,Stasnatch Cliff
Windwheel Aster,Bennett & Sucrose & Traveler,Windrise & Dawn Winery & Stormterror's Lair 
Philanemo Mushroom,Barbara & Klee & Mona,City of Mondstadt & Springvale & Dawn Winery
Small Lamp Grass,Amber & Diluc & Fischl,Whispering Woods
Dandelion Seed,Eula & Jean,anywhere
Jueyun Chili,Xiangling & Yaoyao,Minlin & Qingce Village & Stone Gate
Noctilucous Jade,Beidou & Yanfei,Minlin & Wuwang Hill & The Chasm
Silk Flower,Hu Tao & Xingqiu,Liyue Harbor & Wangshu Inn
Glaze Lily,Ningguang & Yun Jin,Liyue Harbor & Qingce Village
Qingxin,Ganyu & Shenhe & Xiao,Minlin & Wuwang Hill
Starconch,Gaming & Tartaglia & Yelan,Liyue Beach & Dragonspine Beach
Violetgrass,Baizhu & Qiqi & Xinyan,Liyue
Cor Lapis,Chongyun & Keqing & Zhongli
Clearwater Jade,Xianyun,Chenyu Vale
Onikabuto,Arataki Itto & Shikanoin Heizou,Mikage Furnace & Mt. Yougou
Sakura Bloom,Kamisato Ayaka & Kamisato Ayato,Narukami Island 
Crystal Marrow,Aloy & Sayu,Yashiori Island & Tatarasuna
Dendrobium,Chiori & Kujou Sara,Kannazuka & Yashiori Island
Naku Weed,Kuki Shinobu & Yoimiya,Seirai Island
Sea Ganoderma,Kaedehara Kazuha & Yae Miko,Inazuma
Sango Pearl,Gorou & Sangonomiya Kokomi,Watatsumi Island & Enkanomiya
Amakumo Fruit,Kirara & Raiden Shogun,Seirai Island
Fluorescent Fungus,Thoma,Tsurumi Island
Rukkhashava Mushrooms,Collei & Wanderer,Ashavan Realm & Lokapala Jungle 
Padisarah,Nilou,Sumeru City
Nilotpala Lotus,Layla & Tighnari,Sumeru Rivers
Kalpalata Lotus,Dori & Nahida,Sumeru Mountains
Henna Berry,Candace & Faruzan,Sumeru Desert
Scarab,Cyno,Sumeru Ruins
Sand Grease Pupa,Alhaitham & Dehya,Sumeru Desert
Mourning Flower,Kaveh,Sumeru Desert
Beryl Conch,Charlotte,Source of All Waters: The Great Fontaine Lake
Romaritime Flower,Freminet,Fontain Waters
Lumidouce Bell,Chevreuse & Lynette,North of the Court of Fontaine
Rainbow Rose,Arlecchino & Lyney,Beryl Region & Fountain of Lucine 
Lumitoile,Neuvillette & Clorinde,Liffey Region
Subdetection Unit,Wriothesley,Fontaine Research Institute of Kinetic Energy Engineering Region
Lakelight Lily,Furina & Emilie,Erinnyes Forest 
Spring of the First Dewdrop,Navia,Tower of Ipsissimus
Trishiraite,Sethos, Temir Mountains & Desert
